cfnetwork_version;os_version;darwin_version;brand
760.6.3;10.11.6;15.6.0;Apple
760.5.1;10.11.5;15.5.0;Apple
760.5;10.11.4;15.5.0;Apple
760.4.2;10.11.4;15.4.0;Apple
760.2.6;10.11.3;15.3.0;Apple
760.2.6;10.11.2;15.2.0;Apple
760.1.2;10.11.1;15.0.0;Apple
760.0.5;10.11.0;15.0.0;Apple
720.5.7;10.10.5;14.5.0;Apple
720.4.4;10.10.4;14.4.0;Apple
720.3.13;10.10.3;14.3.0;Apple
720.2.4;10.10.2;14.1.0;Apple
720.1.1;10.10.1;14.0.0;Apple
720.0.9;10.10.0;14.0.0;Apple
673.4;10.9.5;13.4.0;Apple
673.4;10.9.4;13.3.0;Apple
673.4;10.9.3;13.2.0;Apple
673.3;10.9.3;13.2.0;Apple
673.2.1;10.9.2;13.1.0;Apple
673.0.3;10.9.1;13.0.2;Apple
673.0.3;10.9.0;13.0.0;Apple
596.5;10.8.5;12.5.0;Apple
596.4.3;10.8.4;12.4.0;Apple
596.3.3;10.8.3;12.3.0;Apple
596.2.3;10.8.2;12.2.0;Apple
596.1;10.8.1;12.1.0;Apple
520.5.1;10.7.5;11.4.2;Apple
520.4.3;10.7.4;11.4.0;Apple
520.3.2;10.7.3;11.3.0;Apple
520.2.5;10.7.2;11.2.0;Apple
520.0.13;10.7.1;11.1.0;Apple
454.12.4;10.6.8;10.8.0;Apple
454.11.12;10.6.7;10.7.0;Apple
454.11.5;10.6.6;10.6.0;Apple
454.11.5;10.6.5;10.5.0;Apple
454.9.7;10.6.4;10.4.0;Apple
454.9.4;10.6.3;10.3.0;Apple
454.5;10.6.2;10.2.0;Apple
454.4;10.6.0;10.0.0;Apple
438.14;10.5.8;9.8.0;Apple
438.12;10.5.7;9.7.0;Apple
422.11;10.5.6;9.6.0;Apple
339.5;10.5.5;9.5.0;Apple
330.4;10.5.4;9.4.0;Apple
330;10.5.3;9.3.0;Apple
221.5;10.5.2;9.2.0;Apple
220;10.5.1;9.1.0;Apple
217;10.5.0;9.0.0;Apple
129.22;10.4.11;8.11.0;Apple
129.21;10.4.10;8.10.0;Apple
129.20;10.4.9;8.9.0;Apple
129.18;10.4.8;8.8.0;Apple
129.16;10.4.7;8.7.0;Apple
129.13;10.4.6;8.6.0;Apple
129.9;10.4.5 (PPC);8.5.0;Apple
129.10;10.4.5 (Intel);8.5.0;Apple
129.9;10.4.4 (PPC);8.4.0;Apple
129.10;10.4.4 (Intel);8.4.0;Apple
129.5;10.4.3 (PPC);8.3.0;Apple
128.2;10.4.2 (PPC);8.2.0;Apple
128;10.4.1 (PPC);8.1.0;Apple
128;10.4.0 (PPC);8.0.0;Apple
1.2.6;10.3.9; ;Apple
1.2.2;10.3.9; ;Apple
1.2.1;10.3.2; ;Apple
1.1;10.2; ;Apple
711.5.6;8.4.1;14.0.0;Apple
711.4.6;8.4;14.0.0;Apple
711.3.18;8.3;14.0.0;Apple
711.2.23;8.2;14.0.0;Apple
711.1.16;8.1.3;14.0.0;Apple
711.1.16;8.1.2;14.0.0;Apple
711.1.16;8.1.1;14.0.0;Apple
711.1.12;8.1.0;14.0.0;Apple
711.0.6;8.0.2;14.0.0;Apple
711.0.6;8.0.1;14.0.0;Apple
711.0.6;8.0;14.0.0;Apple
672.1.15;7.1.2;14.0.0;Apple
672.1.14;7.1.1;14.0.0;Apple
672.1.13;7.1;14.0.0;Apple
672.1.12;7.1-b5;14.0.0;Apple
672.1.11; ;14.0.0;Apple
672.1.10; ;14.0.0;Apple
672.1.9; ;14.0.0;Apple
672.0.8;7.0.6;14.0.0;Apple
672.0.8;7.0.5;14.0.0;Apple
672.0.8;7.0.4;14.0.0;Apple
672.0.8;7.0.3;14.0.0;Apple
672.0.2;7.0.2;14.0.0;Apple
672.0.2;7.0.1;14.0.0;Apple
672.0.2;7.0;14.0.0;Apple
609.1.4;6.1.4;13.0.0;Apple
609.1.4;6.1.3;13.0.0;Apple
609.1.4;6.1.2;13.0.0;Apple
609;6.0.1;13.0.0;Apple
609;6.0;13.0.0;Apple
602;6.0-b3;13.0.0;Apple
548.1.4;5.1;11.0.0;Apple
548.0.4;5.0.1;11.0.0;Apple
548.0.3;5;11.0.0;Apple
485.13.9;4.3.5;11.0.0;Apple
485.13.9;4.3.4;11.0.0;Apple
485.13.9;4.3.3;11.0.0;Apple
485.13.9;4.3.2;11.0.0;Apple
485.13.9;4.3.1;11.0.0;Apple
485.13.9;4.3;11.0.0;Apple
485.12.30;4.2.8;10.4.0;Apple
485.12.7;4.2.1;10.4.0;Apple
485.10.2;4.1;10.3.1;Apple
485.2;4;10.3.1;Apple
459;3.1.3;10.0.0d3;Apple
